mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
180213,Mohmad Haneefa,Elected,09-06-2024,In Office,First Term,Ladakh,Ladakh,Independent,Male,Upto Higher Secondary,Matric pass from J&K Board,57,19,0,79,0.876623377, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19,NA,79,0.876623377,Lok Sabha
180285,Shrirang Appa Chandu Barne,Elected,09-06-2024,In Office,Third Term,Maval,Maharashtra,Shiv Sena,Male,Upto Higher Secondary,"10th Passed from Fattechand Jain Vidyalaya, Chinchwad, SSC Board Pune, Maharashtra in year 2022",62,59,3,293,0.961038961, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,31.9772979,0.88372093,181.1135105,0.844278827,Lok Sabha
180006,Bhupathiraju Srinivasa Varma,Elected,09-06-2024,In Office,First Term,Narsapuram,Andhra Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,M.A. (Politics) 1999 from Andhra University,59,NA,NA,NA,NA,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 13-08-2026.",NA,NA,NA,NA,NA,NA,NA,NA,Lok Sabha
180007,Byreddy Shabari,Elected,09-06-2024,In Office,First Term,Nandyal,Andhra Pradesh,Telugu Desam Party,Female,Post Graduate and above,"PG Degree (M.D. Radio Diagnosis)- Dr. NTR University of Health Sciences, Andhra Pradesh, April 2013",42,24,2,179,0.922077922, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180009,Chandra Sekhar Pemmasani,Elected,09-06-2024,In Office,First Term,Guntur,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"M.D. Internal Medicine at Geisinger Medical Center in Danville, Pennsylvania, USA 2005",50,NA,NA,NA,NA,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 13-08-2026.",NA,NA,NA,NA,NA,NA,NA,NA,Lok Sabha
180012,G M Harish Balayogi,Elected,09-06-2024,In Office,First Term,Amalapuram,Andhra Pradesh,Telugu Desam Party,Male,Graduate,Bachelors of Business Management from GITAM University in 2011,35,29,1,200,0.987012987, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180015,Krishna Prasad Tenneti,Elected,09-06-2024,In Office,First Term,Bapatla,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"MBA, Indian Institute of Management, Ahmedabad (IIMA) 1983-85",66,26,2,212,0.915584416, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180016,Lavu Sri Krishna Devarayalu,Elected,09-06-2024,In Office,Second Term,Narsaraopet,Andhra Pradesh,Telugu Desam Party,Male,Graduate,"B.Tech. from Andhra University, Visakhapatnam year 2006",43,46,2,219,0.902597403, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180017,Maddila Gurumoorthy,Elected,09-06-2024,In Office,Second Term,Thirupati,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"Bachelor of Physiotherapy from Sri Venkateswara Institute of Medical science, Tirupati 2004-2008",41,35,3,155,0.954545455, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180022,Putta Mahesh Kumar,Elected,09-06-2024,In Office,First Term,Eluru,Andhra Pradesh,Telugu Desam Party,Male,Graduate,"B.Tech (Civil Engineering) from Jawaharlal Nehru Technology University Hyderabad, 2010",38,11,1,182,0.772727273, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,19.54545455,0.5,168.9090909,0.863636364,Lok Sabha
180023,Kinjarapu Rammohan Naidu,Elected,09-06-2024,In Office,Third Term,Srikakulam,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"MBA from Island University, New York, USA, Year 2011",38,NA,NA,NA,NA,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 13-08-2026.",NA,NA,NA,NA,NA,NA,NA,NA,Lok Sabha
180027,Kiren Rijiju,Elected,09-06-2024,In Office,Fourth Term,Arunachal West,Arunachal Pradesh,Bharatiya Janata Party,Male,Graduate,L.L.B. from Law Faculty of University of Delhi in year 1998,54,NA,NA,NA,NA,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 13-08-2026.",NA,NA,NA,NA,NA,NA,NA,NA,Lok Sabha
180029,Amarsing Tisso,Elected,09-06-2024,In Office,First Term,Diphu,Assam,Bharatiya Janata Party,Male,Upto Higher Secondary,Senior School Secondary Examination (SSSE) from NIOS in 1995,58,1,1,75,0.902597403, Data corresponds to the period from 24-06-2024 to 13-08-2026.,21.54095681,0.417355372,119.7049443,0.85328087,15.24358974,0.076923077,91.52564103,0.849206349,Lok Sabha
